OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Euthanasia,Aggressive,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black Tabby
Adoption,,Dog,Spayed Female,6 years,Pit Bull/Labrador Retriever,Tan/White
Adoption,,Dog,Spayed Female,2 months,Bull Terrier Mix,Fawn
Transfer,Partner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Torbie
Transfer,Partner,Cat,Neutered Male,9 years,Maine Coon Mix,Cream Tabby/White
Transfer,SCRP,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Intact Male,8 months,Labrador Retriever Mix,Black/White
Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Cream Tabby
Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair,Black
Return_to_owner,,Dog,Neutered Male,11 months,Pit Bull Mix,Brown/White
Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Tortie
Transfer,Partner,Dog,Neutered Male,2 years,Dogo Argentino Mix,White/Black
Adoption,,Dog,Neutered Male,4 months,Australian Shepherd/Dachshund,Chocolate/Tan
Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Yellow
Return_to_owner,,Dog,Spayed Female,7 years,Jack Russell Terrier Mix,White/Black
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby
Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Black/Tan
Adoption,,Dog,Spayed Female,1 year,Dachshund Mix,Black/Tan
Adoption,,Dog,Spayed Female,6 months,Labrador Retriever Mix,Chocolate
Return_to_owner,,Dog,Neutered Male,7 years,Shiba Inu,Red/White
Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Spayed Female,4 months,Boston Terrier Mix,Black/Brown Brindle
Adoption,,Dog,Neutered Male,6 months,Border Collie Mix,Black/White
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie
Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue Tabby
Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,6 years,Labrador Retriever Mix,Brown/White
Adoption,,Dog,Neutered Male,2 months,Black Mouth Cur Mix,Red
Return_to_owner,,Dog,Neutered Male,14 years,Chihuahua Shorthair Mix,Buff
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Gray Tabby/White
Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Tan/White
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Neutered Male,2 months,Labrador Retriever/Pit Bull,Tricolor
Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
Transfer,Partner,Dog,Spayed Female,2 months,Doberman Pinsch Mix,Tricolor
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue
Return_to_owner,,Dog,Intact Female,6 years,Chihuahua Shorthair Mix,Brown
Euthanasia,Aggressive,Dog,Intact Male,2 years,Pit Bull,Brown Brindle/White
Return_to_owner,,Dog,Neutered Male,2 years,Pembroke Welsh Corgi Mix,Black/Tricolor
Return_to_owner,,Dog,Neutered Male,10 years,Beagle Mix,Tricolor
Adoption,Foster,Cat,Spayed Female,2 years,Siamese Mix,Tortie Point
Euthanasia,Suffering,Cat,Intact Female,10 years,Domestic Shorthair Mix,Cream Tabby/White
Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Dog,Intact Male,6 years,Labrador Retriever Mix,Red
Adoption,,Dog,Spayed Female,3 months,Chihuahua Shorthair Mix,Tan/Black
Adoption,,Dog,Neutered Male,4 years,Pit Bull Mix,Black/White
Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,3 years,Labrador Retriever/Border Collie,Black/White
Transfer,Partner,Dog,Intact Male,2 years,Chihuahua Shorthair/Shih Tzu,Black/White
Adoption,,Dog,Neutered Male,2 years,Collie Smooth Mix,Tricolor
Transfer,SCRP,Cat,Intact Female,3 years,Domestic Medium Hair Mix,Tortie
Return_to_owner,,Dog,Spayed Female,8 years,Golden Retriever,Gold
Return_to_owner,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Tortie
Transfer,Partner,Dog,Neutered Male,2 years,Pug/Border Terrier,Black/Tan
Euthanasia,Aggressive,Dog,Intact Female,1 year,Pit Bull Mix,Brown Brindle/Black
Return_to_owner,,Dog,Neutered Male,5 years,Basset Hound Mix,White/Black
Return_to_owner,,Dog,Spayed Female,3 years,Australian Kelpie/Pit Bull,Black
Return_to_owner,,Dog,Neutered Male,5 years,Cane Corso,Black Brindle
Transfer,SCRP,Cat,Intact Female,4 years,Domestic Shorthair Mix,Cream Tabby
Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby
Return_to_owner,,Dog,Neutered Male,2 years,Catahoula Mix,Brown Brindle/White
Return_to_owner,,Dog,Neutered Male,3 years,Black Mouth Cur/German Shepherd,Sable
Transfer,SCRP,Cat,Unknown,8 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,,Dog,Neutered Male,6 years,Pit Bull/Border Collie,Black/White
Adoption,,Dog,Neutered Male,9 months,Labrador Retriever/Vizsla,Gold
Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
Transfer,SCRP,Cat,Unknown,6 months,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White
Adoption,,Dog,Neutered Male,1 year,Dogo Argentino Mix,White
Transfer,Partner,Dog,Intact Female,5 months,Anatol Shepherd Mix,Buff
Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
Transfer,Partner,Dog,Neutered Male,2 months,Border Collie Mix,Chocolate/Black
Return_to_owner,,Dog,Neutered Male,8 years,Yorkshire Terrier Mix,Tan/Black
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White
Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever/Australian Shepherd,White/Tan
Adoption,,Dog,Spayed Female,8 months,Italian Greyhound Mix,Black/White
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
Adoption,Foster,Cat,Neutered Male,2 months,Siamese Mix,Lilac Point
Transfer,Partner,Dog,Intact Male,2 months,Pit Bull Mix,Black/Tan
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie
Return_to_owner,,Dog,Spayed Female,5 years,Boxer Mix,Fawn/White
Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Tan
Adoption,,Dog,Neutered Male,5 years,Cairn Terrier Mix,Tan
Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Torbie
Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Black/White
Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tricolor
Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
Adoption,,Dog,Spayed Female,7 months,Pit Bull Mix,Blue/White
Adoption,,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black
Transfer,Partner,Cat,Intact Female,3 weeks,Siamese Mix,Lilac Point
Adoption,,Dog,Neutered Male,3 years,Labrador Retriever Mix,White
Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black
Transfer,Partner,Dog,Intact Male,1 week,German Shepherd Mix,Sable
Return_to_owner,,Dog,Neutered Male,3 years,Border Collie Mix,Black/White
Adoption,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tan
Adoption,,Dog,Neutered Male,8 months,Jack Russell Terrier/Italian Greyhound,Brown Brindle/White
Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Brown Tabby/White
Transfer,Partner,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Black
Return_to_owner,,Dog,Spayed Female,6 years,Miniature Schnauzer/Miniature Poodle,Black/White
Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Behavior,Dog,Intact Female,2 years,Pit Bull Mix,White/Brown
Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Longhair Mix,Orange Tabby
Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Blue Merle
Transfer,Partner,Dog,Neutered Male,11 months,Jack Russell Terrier Mix,White/Tan
Transfer,Partner,Cat,Neutered Male,9 months,Domestic Shorthair Mix,Orange Tabby
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Chocolate
Adoption,,Dog,Spayed Female,6 months,Pit Bull Mix,White/Blue
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue
Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White
Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,6 months,Pit Bull Mix,Blue
Transfer,SCRP,Cat,Unknown,2 years,Domestic Medium Hair Mix,Black/White
Euthanasia,Suffering,Dog,Intact Male,14 years,Chihuahua Shorthair Mix,Sable
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Cat,Neutered Male,4 years,Siamese Mix,Seal Point
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
Adoption,,Dog,Spayed Female,6 months,Staffordshire Mix,Brown/White
Transfer,SCRP,Cat,Intact Female,1 year,Ragdoll Mix,Lynx Point
Adoption,Foster,Dog,Spayed Female,3 years,Siberian Husky,White/Black
Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black
Return_to_owner,,Dog,Neutered Male,2 years,Miniature Poodle Mix,White
Adoption,,Dog,Spayed Female,7 years,Jack Russell Terrier/Beagle,White/Brown
Adoption,,Dog,Spayed Female,1 year,Dachshund Longhair Mix,Chocolate
Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair Mix,Blue
Transfer,Partner,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Brown
Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,White/Gray
Adoption,,Dog,Neutered Male,3 months,Leonberger Mix,Brown/White
Euthanasia,Aggressive,Dog,Intact Female,5 years,American Bulldog Mix,White/Brown Brindle
Adoption,,Dog,Neutered Male,3 years,German Shepherd Mix,Tan/Black
Adoption,,Cat,Neutered Male,10 months,Maine Coon Mix,Brown Tabby
Transfer,Partner,Dog,Neutered Male,2 years,Miniature Poodle Mix,White
Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White
Adoption,Foster,Dog,Spayed Female,1 year,Yorkshire Terrier/Miniature Poodle,Gray
Transfer,Partner,Dog,Intact Female,4 years,Rhod Ridgeback Mix,Brown
Adoption,,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Fawn
Adoption,,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,1 year,Great Pyrenees Mix,Cream
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Unknown,1 week,Domestic Medium Hair Mix,White
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,White
Return_to_owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Yellow
Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black/White
Euthanasia,Aggressive,Dog,Neutered Male,4 years,Dogue De Bordeaux Mix,Red Merle/White
Return_to_owner,,Dog,Intact Male,10 months,Black/Tan Hound,Black/Tan
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,White/Orange Tabby
Adoption,,Dog,Spayed Female,1 year,Catahoula/Pit Bull,Brown Merle/White
Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Cat,Unknown,0 years,Domestic Shorthair Mix,Pink
Return_to_owner,,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate
Return_to_owner,,Dog,Spayed Female,12 years,Pug/Pomeranian,Brown/White
Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Buff
Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair,Brown Tabby/White
Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair/German Shepherd,Black/White
Adoption,,Dog,Neutered Male,5 months,Australian Cattle Dog Mix,Brown/White
Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black
Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue Tabby
Transfer,Partner,Dog,Neutered Male,1 year,Great Dane Mix,Blue
Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,White/Brown Brindle
Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Brown Brindle
Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Calico/White
Adoption,,Dog,Spayed Female,2 years,Jack Russell Terrier Mix,Tan/White
Return_to_owner,,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown
Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue
Euthanasia,Suffering,Cat,Neutered Male,2 years,Domestic Shorthair Mix,White/Brown Tabby
Adoption,Foster,Cat,Spayed Female,1 month,Siamese Mix,Seal Point
Adoption,,Dog,Neutered Male,2 years,Border Terrier/Miniature Schnauzer,Silver
Return_to_owner,,Dog,Spayed Female,7 years,Rottweiler Mix,Buff
Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Neutered Male,2 years,Anatol Shepherd Mix,Tan/White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Brown Tabby/Black
Return_to_owner,,Dog,Neutered Male,9 years,Dalmatian Mix,White/Black
Adoption,Foster,Dog,Neutered Male,1 month,Flat Coat Retriever/Papillon,Brown
Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Black
Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Blue Tabby
Transfer,Partner,Dog,Neutered Male,2 years,Skye Terrier Mix,Black
Euthanasia,Suffering,Dog,Intact Female,1 month,Shih Tzu,Black/White
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby/White
Transfer,Partner,Dog,Spayed Female,4 months,Pit Bull Mix,Black/White
Adoption,Foster,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
Transfer,Partner,Dog,Intact Female,3 months,Pit Bull Mix,White
Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Intact Female,1 month,German Shepherd Mix,Fawn
Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Blue Tabby/White
Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby
Died,In Kennel,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Black/White
Return_to_owner,,Dog,Neutered Male,1 year,Basset Hound,Tricolor
Transfer,Partner,Cat,Intact Female,4 months,Domestic Shorthair Mix,Tortie
Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair/Cardigan Welsh Corgi,Tricolor
Died,At Vet,Dog,Spayed Female,2 years,Flat Coat Retriever Mix,Black/White
Transfer,Partner,Dog,Unknown,1 weeks,Chihuahua Shorthair Mix,White/Brown
Return_to_owner,,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Blue Merle/White
Adoption,,Dog,Spayed Female,2 years,Australian Shepherd Mix,Black/Tan
Return_to_owner,,Dog,Neutered Male,1 year,Rat Terrier Mix,Tricolor
Return_to_owner,,Dog,Neutered Male,6 years,Standard Poodle Mix,White
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby
Adoption,Foster,Dog,Neutered Male,5 years,German Shepherd,Brown/Black
Adoption,,Cat,Neutered Male,2 years,Snowshoe Mix,Seal Point/White
Transfer,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie
Transfer,Partner,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico Point
Return_to_owner,,Dog,Neutered Male,2 years,Pointer/Labrador Retriever,White/Chocolate
Adoption,,Dog,Spayed Female,5 months,Chihuahua Shorthair/Dachshund,Black/White
Return_to_owner,,Dog,Neutered Male,2 years,Labrador Retriever/Pit Bull,Black/White
Adoption,,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Black
Return_to_owner,,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,Brown/White
Adoption,,Dog,Spayed Female,8 years,Pomeranian/Chihuahua Longhair,Buff
Adoption,,Dog,Neutered Male,1 year,Basenji/Australian Cattle Dog,White/Buff
Adoption,,Dog,Neutered Male,2 years,Finnish Spitz Mix,Red
Return_to_owner,,Dog,Intact Female,4 years,Staffordshire Mix,Black/White
Transfer,Partner,Dog,Neutered Male,7 months,German Shepherd Mix,White/Black
Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby/White
Transfer,Partner,Dog,Spayed Female,3 years,Boxer Mix,Brown/White
Return_to_owner,,Dog,Neutered Male,6 years,Pit Bull Mix,Brown Brindle/White
Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair/Dachshund,Tricolor
Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Gold
Adoption,Foster,Dog,Spayed Female,1 month,Dachshund Wirehair/Miniature Poodle,Black/Tan
Adoption,,Dog,Spayed Female,4 years,Border Collie Mix,White/Black
Transfer,Partner,Dog,Spayed Female,7 years,Pit Bull,Blue/White
Adoption,,Dog,Neutered Male,2 years,Affenpinscher Mix,Black/White
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black/White
Transfer,Partner,Cat,Intact Male,1 month,Domestic Longhair Mix,White
Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Foster,Dog,Neutered Male,9 years,Rat Terrier Mix,White/Black
Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Yellow
Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White
Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Cream Tabby/White
Adoption,Offsite,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby
Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Red/White
Adoption,,Dog,Neutered Male,8 years,Labrador Retriever Mix,Yellow
Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
Adoption,,Dog,Spayed Female,1 year,Staffordshire Mix,Black/White
Transfer,Partner,Dog,Neutered Male,12 years,Jack Russell Terrier Mix,White/Black
Return_to_owner,,Dog,Neutered Male,8 months,German Shepherd Mix,Brown/Black
Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
Transfer,Partner,Dog,Neutered Male,2 years,Basenji/Jack Russell Terrier,White/Brown
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Intact Female,8 months,Dachshund Longhair Mix,Red
Adoption,,Dog,Neutered Male,2 years,Chihuahua Longhair Mix,Black/Brown
Transfer,Partner,Dog,Intact Male,2 months,Toy Poodle Mix,Tan/White
Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Chocolate/White
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Cream
Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White
Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Neutered Male,1 year,Pembroke Welsh Corgi Mix,Tan/White
Transfer,Partner,Dog,Neutered Male,9 months,Catahoula Mix,Black/Blue
Return_to_owner,,Dog,Neutered Male,8 months,Yorkshire Terrier Mix,Brown/Black
Return_to_owner,,Dog,Spayed Female,2 years,Beauceron Mix,Black/Brown
Return_to_owner,,Dog,Neutered Male,5 years,Yorkshire Terrier Mix,Tan
Return_to_owner,,Dog,Neutered Male,6 years,Pit Bull Mix,White/Black
Adoption,Offsite,Dog,Neutered Male,1 year,Miniature Poodle Mix,White/Buff
Euthanasia,Suffering,Dog,Spayed Female,17 years,Cocker Spaniel,White/Brown
Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Brown Brindle/White
Adoption,,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Brown Merle
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
